energia,T,V
5.000000,5.000000,-0.000000
5.000000,5.003103,-0.003103
5.000000,5.006208,-0.006208
5.000000,5.009315,-0.009315
5.000000,5.012424,-0.012424
5.000000,5.015535,-0.015535
5.000000,5.018648,-0.018648
5.000000,5.021763,-0.021762
5.000000,5.024879,-0.024879
5.000000,5.027998,-0.027998
5.000000,5.031118,-0.031118
5.000000,5.034241,-0.034240
5.000000,5.037365,-0.037365
5.000000,5.040491,-0.040491
5.000001,5.043619,-0.043619
5.000001,5.046750,-0.046749
5.000001,5.049882,-0.049881
5.000001,5.053016,-0.053015
5.000001,5.056152,-0.056150
5.000001,5.059289,-0.059288
5.000002,5.062429,-0.062428
5.000002,5.065571,-0.065569
5.000002,5.068715,-0.068712
5.000003,5.071860,-0.071858
5.000003,5.075008,-0.075005
5.000003,5.078157,-0.078154
5.000004,5.081309,-0.081305
5.000004,5.084462,-0.084458
5.000005,5.087617,-0.087613
5.000005,5.090774,-0.090769
5.000006,5.093933,-0.093928
5.000006,5.097094,-0.097088
5.000007,5.100257,-0.100251
5.000008,5.103422,-0.103415
5.000008,5.106589,-0.106581
5.000009,5.109758,-0.109749
5.000010,5.112929,-0.112919
5.000011,5.116101,-0.116091
5.000012,5.119276,-0.119264
5.000012,5.122453,-0.122440
5.000013,5.125631,-0.125618
5.000015,5.128811,-0.128797
5.000016,5.131994,-0.131978
5.000017,5.135178,-0.135161
5.000018,5.138364,-0.138346
5.000019,5.141552,-0.141533
5.000021,5.144743,-0.144722
5.000022,5.147935,-0.147913
5.000023,5.151129,-0.151105
5.000025,5.154325,-0.154300
5.000026,5.157522,-0.157496
5.000028,5.160722,-0.160694
5.000030,5.163924,-0.163894
5.000032,5.167128,-0.167096
5.000033,5.170333,-0.170300
5.000035,5.173541,-0.173506
5.000037,5.176750,-0.176713
5.000039,5.179962,-0.179923
5.000041,5.183175,-0.183134
5.000044,5.186391,-0.186347
5.000046,5.189608,-0.189562
5.000048,5.192827,-0.192779
5.000051,5.196048,-0.195998
5.000053,5.199272,-0.199218
5.000056,5.202497,-0.202441
5.000058,5.205724,-0.205665
5.000061,5.208953,-0.208891
5.000064,5.212184,-0.212120
5.000067,5.215417,-0.215350
5.000070,5.218651,-0.218581
5.000073,5.221888,-0.221815
5.000076,5.225127,-0.225051
5.000080,5.228368,-0.228288
5.000083,5.231610,-0.231527
5.000087,5.234855,-0.234768
5.000090,5.238101,-0.238011
5.000094,5.241350,-0.241256
5.000098,5.244600,-0.244503
5.000101,5.247853,-0.247751
5.000105,5.251107,-0.251001
5.000110,5.254363,-0.254254
5.000114,5.257621,-0.257508
5.000118,5.260882,-0.260763
5.000122,5.264144,-0.264021
5.000127,5.267408,-0.267281
5.000132,5.270674,-0.270542
5.000136,5.273942,-0.273805
5.000141,5.277212,-0.277071
5.000146,5.280484,-0.280338
5.000151,5.283758,-0.283606
5.000157,5.287033,-0.286877
5.000162,5.290311,-0.290149
5.000167,5.293591,-0.293424
5.000173,5.296873,-0.296700
5.000179,5.300156,-0.299978
5.000184,5.303442,-0.303258
5.000190,5.306729,-0.306539
5.000196,5.310019,-0.309823
5.000203,5.313310,-0.313108
5.000209,5.316604,-0.316395
5.000215,5.319899,-0.319684
