theta1,theta2,p1,p2
1.570796,1.570796,-3.162278,0.000000
1.570480,1.571113,-3.164240,-0.000981
1.570164,1.571429,-3.166203,-0.001961
1.569847,1.571745,-3.168167,-0.002940
1.569531,1.572061,-3.170131,-0.003919
1.569214,1.572377,-3.172096,-0.004897
1.568897,1.572694,-3.174061,-0.005875
1.568580,1.573010,-3.176027,-0.006851
1.568263,1.573326,-3.177994,-0.007828
1.567946,1.573642,-3.179961,-0.008803
1.567629,1.573959,-3.181929,-0.009778
1.567312,1.574275,-3.183898,-0.010753
1.566995,1.574591,-3.185867,-0.011726
1.566677,1.574907,-3.187837,-0.012699
1.566360,1.575223,-3.189808,-0.013672
1.566042,1.575540,-3.191779,-0.014644
1.565724,1.575856,-3.193751,-0.015615
1.565406,1.576172,-3.195724,-0.016585
1.565088,1.576488,-3.197697,-0.017555
1.564770,1.576804,-3.199671,-0.018524
1.564452,1.577121,-3.201645,-0.019493
1.564134,1.577437,-3.203620,-0.020461
1.563816,1.577753,-3.205596,-0.021428
1.563497,1.578069,-3.207572,-0.022395
1.563179,1.578385,-3.209549,-0.023361
1.562860,1.578702,-3.211527,-0.024326
1.562542,1.579018,-3.213505,-0.025291
1.562223,1.579334,-3.215484,-0.026255
1.561904,1.579650,-3.217464,-0.027218
1.561585,1.579966,-3.219444,-0.028181
1.561266,1.580282,-3.221425,-0.029143
1.560947,1.580598,-3.223407,-0.030104
1.560628,1.580915,-3.225389,-0.031065
1.560308,1.581231,-3.227372,-0.032025
1.559989,1.581547,-3.229356,-0.032985
1.559669,1.581863,-3.231340,-0.033944
1.559350,1.582179,-3.233325,-0.034902
1.559030,1.582495,-3.235310,-0.035859
1.558710,1.582811,-3.237296,-0.036816
1.558390,1.583127,-3.239283,-0.037772
1.558070,1.583443,-3.241271,-0.038728
1.557750,1.583759,-3.243259,-0.039683
1.557430,1.584076,-3.245248,-0.040637
1.557110,1.584392,-3.247237,-0.041591
1.556789,1.584708,-3.249227,-0.042544
1.556469,1.585024,-3.251218,-0.043496
1.556148,1.585340,-3.253210,-0.044448
1.555827,1.585656,-3.255202,-0.045399
1.555507,1.585972,-3.257194,-0.046349
1.555186,1.586288,-3.259188,-0.047299
1.554865,1.586604,-3.261182,-0.048248
1.554544,1.586920,-3.263177,-0.049196
1.554223,1.587236,-3.265172,-0.050144
1.553902,1.587552,-3.267168,-0.051091
1.553580,1.587868,-3.269165,-0.052037
1.553259,1.588184,-3.271162,-0.052983
1.552937,1.588499,-3.273161,-0.053928
1.552616,1.588815,-3.275159,-0.054872
1.552294,1.589131,-3.277159,-0.055816
1.551973,1.589447,-3.279159,-0.056759
1.551651,1.589763,-3.281160,-0.057702
1.551329,1.590079,-3.283161,-0.058643
1.551007,1.590395,-3.285163,-0.059585
1.550685,1.590711,-3.287166,-0.060525
1.550362,1.591026,-3.289169,-0.061465
1.550040,1.591342,-3.291173,-0.062404
1.549718,1.591658,-3.293178,-0.063342
1.549395,1.591974,-3.295184,-0.064280
