x1,y1,x2,y2
1.000000,-0.000000,2.000000,-0.000000
1.000000,-0.000316,2.000000,-0.000000
1.000000,-0.000633,2.000000,-0.000000
1.000000,-0.000949,1.999999,-0.000000
0.999999,-0.001266,1.999998,-0.000001
0.999999,-0.001582,1.999997,-0.000001
0.999998,-0.001899,1.999996,-0.000002
0.999998,-0.002216,1.999995,-0.000002
0.999997,-0.002533,1.999994,-0.000003
0.999996,-0.002850,1.999992,-0.000004
0.999995,-0.003167,1.999990,-0.000005
0.999994,-0.003484,1.999988,-0.000006
0.999993,-0.003802,1.999986,-0.000007
0.999992,-0.004119,1.999983,-0.000008
0.999990,-0.004437,1.999980,-0.000010
0.999989,-0.004754,1.999977,-0.000011
0.999987,-0.005072,1.999974,-0.000013
0.999985,-0.005390,1.999971,-0.000014
0.999984,-0.005708,1.999968,-0.000016
0.999982,-0.006026,1.999964,-0.000018
0.999980,-0.006344,1.999960,-0.000020
0.999978,-0.006662,1.999956,-0.000022
0.999976,-0.006980,1.999951,-0.000024
0.999973,-0.007299,1.999947,-0.000026
0.999971,-0.007617,1.999942,-0.000028
0.999969,-0.007936,1.999937,-0.000031
0.999966,-0.008255,1.999932,-0.000033
0.999963,-0.008573,1.999927,-0.000036
0.999960,-0.008892,1.999921,-0.000039
0.999958,-0.009211,1.999916,-0.000042
0.999955,-0.009530,1.999910,-0.000044
0.999951,-0.009849,1.999903,-0.000047
0.999948,-0.010169,1.999897,-0.000051
0.999945,-0.010488,1.999891,-0.000054
0.999942,-0.010807,1.999884,-0.000057
0.999938,-0.011127,1.999877,-0.000061
0.999934,-0.011447,1.999870,-0.000064
0.999931,-0.011766,1.999862,-0.000068
0.999927,-0.012086,1.999855,-0.000071
0.999923,-0.012406,1.999847,-0.000075
0.999919,-0.012726,1.999839,-0.000079
0.999915,-0.013046,1.999831,-0.000083
0.999911,-0.013366,1.999823,-0.000087
0.999906,-0.013686,1.999814,-0.000092
0.999902,-0.014007,1.999805,-0.000096
0.999897,-0.014327,1.999796,-0.000100
0.999893,-0.014648,1.999787,-0.000105
0.999888,-0.014968,1.999778,-0.000109
0.999883,-0.015289,1.999768,-0.000114
0.999878,-0.015610,1.999758,-0.000119
0.999873,-0.015931,1.999748,-0.000124
0.999868,-0.016252,1.999738,-0.000129
0.999863,-0.016573,1.999728,-0.000134
0.999857,-0.016894,1.999717,-0.000139
0.999852,-0.017215,1.999706,-0.000145
0.999846,-0.017536,1.999695,-0.000150
0.999841,-0.017858,1.999684,-0.000156
0.999835,-0.018179,1.999672,-0.000161
0.999829,-0.018501,1.999661,-0.000167
0.999823,-0.018823,1.999649,-0.000173
0.999817,-0.019144,1.999637,-0.000179
0.999811,-0.019466,1.999625,-0.000185
0.999804,-0.019788,1.999612,-0.000191
0.999798,-0.020110,1.999599,-0.000197
0.999791,-0.020432,1.999587,-0.000204
0.999785,-0.020755,1.999574,-0.000210
0.999778,-0.021077,1.999560,-0.000217
0.999771,-0.021399,1.999547,-0.000223
0.999764,-0.021722,1.999533,-0.000230
0.999757,-0.022044,1.999519,-0.000237
0.999750,-0.022367,1.999505,-0.000244
0.999743,-0.022690,1.999491,-0.000251
0.999735,-0.023013,1.999476,-0.000258
0.999728,-0.023336,1.999462,-0.000266
0.999720,-0.023659,1.999447,-0.000273
0.999712,-0.023982,1.999431,-0.000280
0.999705,-0.024305,1.999416,-0.000288
0.999697,-0.024628,1.999401,-0.000296
0.999689,-0.024951,1.999385,-0.000304
0.999681,-0.025275,1.999369,-0.000311
0.999672,-0.025598,1.999353,-0.000319
0.999664,-0.025922,1.999336,-0.000328
0.999656,-0.026246,1.999320,-0.000336
0.999647,-0.026569,1.999303,-0.000344
0.999638,-0.026893,1.999286,-0.000352
0.999630,-0.027217,1.999269,-0.000361
0.999621,-0.027541,1.999251,-0.000370
0.999612,-0.027865,1.999234,-0.000378
0.999603,-0.028190,1.999216,-0.000387
0.999593,-0.028514,1.999198,-0.000396
0.999584,-0.028838,1.999180,-0.000405
0.999575,-0.029163,1.999161,-0.000414
0.999565,-0.029487,1.999143,-0.000424
0.999556,-0.029812,1.999124,-0.000433
0.999546,-0.030136,1.999105,-0.000442
0.999536,-0.030461,1.999086,-0.000452
0.999526,-0.030786,1.999066,-0.000462
0.999516,-0.031111,1.999046,-0.000471
0.999506,-0.031436,1.999027,-0.000481
0.999495,-0.031761,1.999006,-0.000491
0.999485,-0.032086,1.998986,-0.000501
0.999475,-0.032412,1.998966,-0.000511
0.999464,-0.032737,1.998945,-0.000522
0.999453,-0.033062,1.998924,-0.000532
0.999442,-0.033388,1.998903,-0.000543
0.999432,-0.033713,1.998882,-0.000553
0.999421,-0.034039,1.998860,-0.000564
0.999409,-0.034365,1.998838,-0.000575
0.999398,-0.034691,1.998816,-0.000586
0.999387,-0.035017,1.998794,-0.000597
0.999375,-0.035343,1.998772,-0.000608
0.999364,-0.035669,1.998749,-0.000619
0.999352,-0.035995,1.998726,-0.000630
0.999340,-0.036321,1.998703,-0.000642
0.999328,-0.036647,1.998680,-0.000653
0.999316,-0.036974,1.998657,-0.000665
0.999304,-0.037300,1.998633,-0.000677
0.999292,-0.037627,1.998609,-0.000689
0.999280,-0.037953,1.998585,-0.000701
0.999267,-0.038280,1.998561,-0.000713
0.999254,-0.038607,1.998537,-0.000725
0.999242,-0.038934,1.998512,-0.000737
0.999229,-0.039261,1.998487,-0.000750
0.999216,-0.039588,1.998462,-0.000762
0.999203,-0.039915,1.998437,-0.000775
0.999190,-0.040242,1.998411,-0.000787
0.999177,-0.040569,1.998386,-0.000800
0.999163,-0.040897,1.998360,-0.000813
0.999150,-0.041224,1.998334,-0.000826
0.999136,-0.041551,1.998307,-0.000839
0.999123,-0.041879,1.998281,-0.000853
0.999109,-0.042207,1.998254,-0.000866
0.999095,-0.042534,1.998227,-0.000879
0.999081,-0.042862,1.998200,-0.000893
0.999067,-0.043190,1.998173,-0.000907
0.999053,-0.043518,1.998145,-0.000921
0.999038,-0.043846,1.998117,-0.000934
0.999024,-0.044174,1.998089,-0.000948
0.999009,-0.044502,1.998061,-0.000963
0.998995,-0.044830,1.998033,-0.000977
0.998980,-0.045159,1.998004,-0.000991
0.998965,-0.045487,1.997975,-0.001005
0.998950,-0.045816,1.997946,-0.001020
0.998935,-0.046144,1.997917,-0.001035
0.998920,-0.046473,1.997887,-0.001049
0.998904,-0.046801,1.997858,-0.001064
0.998889,-0.047130,1.997828,-0.001079
0.998873,-0.047459,1.997798,-0.001094
0.998858,-0.047788,1.997767,-0.001109
0.998842,-0.048117,1.997737,-0.001125
0.998826,-0.048446,1.997706,-0.001140
0.998810,-0.048775,1.997675,-0.001156
0.998794,-0.049104,1.997644,-0.001171
0.998777,-0.049434,1.997613,-0.001187
0.998761,-0.049763,1.997581,-0.001203
0.998745,-0.050092,1.997550,-0.001219
0.998728,-0.050422,1.997518,-0.001235
0.998711,-0.050751,1.997485,-0.001251
0.998695,-0.051081,1.997453,-0.001267
0.998678,-0.051411,1.997420,-0.001284
0.998661,-0.051740,1.997388,-0.001300
0.998643,-0.052070,1.997355,-0.001317
0.998626,-0.052400,1.997321,-0.001333
0.998609,-0.052730,1.997288,-0.001350
0.998591,-0.053060,1.997254,-0.001367
0.998574,-0.053390,1.997220,-0.001384
0.998556,-0.053721,1.997186,-0.001401
0.998538,-0.054051,1.997152,-0.001419
0.998520,-0.054381,1.997118,-0.001436
0.998502,-0.054712,1.997083,-0.001453
0.998484,-0.055042,1.997048,-0.001471
0.998466,-0.055373,1.997013,-0.001489
0.998447,-0.055703,1.996978,-0.001506
0.998429,-0.056034,1.996942,-0.001524
0.998410,-0.056365,1.996906,-0.001542
0.998392,-0.056696,1.996870,-0.001560
0.998373,-0.057026,1.996834,-0.001579
0.998354,-0.057357,1.996798,-0.001597
0.998335,-0.057688,1.996761,-0.001615
0.998315,-0.058020,1.996725,-0.001634
0.998296,-0.058351,1.996688,-0.001653
0.998277,-0.058682,1.996650,-0.001671
0.998257,-0.059013,1.996613,-0.001690
0.998238,-0.059345,1.996575,-0.001709
0.998218,-0.059676,1.996537,-0.001728
0.998198,-0.060008,1.996499,-0.001748
0.998178,-0.060339,1.996461,-0.001767
0.998158,-0.060671,1.996423,-0.001786
0.998138,-0.061003,1.996384,-0.001806
0.998117,-0.061334,1.996345,-0.001826
0.998097,-0.061666,1.996306,-0.001845
